distance error measurements
48 16.786952903762927 160
113.8 16.36505776472837 203
54 9.013893057950835 168
91.6 9.877756026949422 336
81.5 11.857403022540046 205
60 14.033749968492357 173
27.9 10.640128078698567 174
58 9.813684715022235 255
25.5 11.66536729174142 176
